,a,p,q,f,l,T,m,M,timestamp
0,11517828,0.00813500,725.00000000,15983616,15983616,1736466603414,True,True,2025-01-09 23:50:03.414
1,11517829,0.00813500,5408.00000000,15983617,15983617,1736466608310,True,True,2025-01-09 23:50:08.310
2,11517830,0.00814300,922.00000000,15983618,15983618,1736466619800,False,True,2025-01-09 23:50:19.800
3,11517831,0.00814400,7939.00000000,15983619,15983620,1736466619801,False,True,2025-01-09 23:50:19.801
4,11517832,0.00814500,922.00000000,15983621,15983621,1736466619801,False,True,2025-01-09 23:50:19.801
5,11517833,0.00814600,1844.00000000,15983622,15983623,1736466619801,False,True,2025-01-09 23:50:19.801
6,11517834,0.00814700,21199.00000000,15983624,15983626,1736466619801,False,True,2025-01-09 23:50:19.801
7,11517835,0.00814800,38167.00000000,15983627,15983629,1736466619801,False,True,2025-01-09 23:50:19.801
8,11517836,0.00814500,7017.00000000,15983630,15983630,1736466619803,False,True,2025-01-09 23:50:19.803
9,11517837,0.00814900,40780.00000000,15983631,15983633,1736466619803,False,True,2025-01-09 23:50:19.803
10,11517838,0.00815000,4823.00000000,15983634,15983636,1736466619803,False,True,2025-01-09 23:50:19.803
11,11517839,0.00815100,781.00000000,15983637,15983637,1736466619803,False,True,2025-01-09 23:50:19.803
12,11517840,0.00815100,3120.00000000,15983638,15983639,1736466619803,False,True,2025-01-09 23:50:19.803
13,11517841,0.00815200,3897.00000000,15983640,15983641,1736466619803,False,True,2025-01-09 23:50:19.803
14,11517842,0.00815000,7017.00000000,15983642,15983642,1736466619807,False,True,2025-01-09 23:50:19.807
15,11517843,0.00814900,7017.00000000,15983643,15983643,1736466619811,False,True,2025-01-09 23:50:19.811
16,11517844,0.00815100,921.00000000,15983644,15983644,1736466623104,False,True,2025-01-09 23:50:23.104
17,11517845,0.00815200,921.00000000,15983645,15983645,1736466623107,False,True,2025-01-09 23:50:23.107
18,11517846,0.00814600,1664.00000000,15983646,15983646,1736466627967,True,True,2025-01-09 23:50:27.967
19,11517847,0.00815200,2585.00000000,15983647,15983648,1736466646175,False,True,2025-01-09 23:50:46.175
20,11517848,0.00815300,7938.00000000,15983649,15983650,1736466646175,False,True,2025-01-09 23:50:46.175
21,11517849,0.00815400,7017.00000000,15983651,15983651,1736466646177,False,True,2025-01-09 23:50:46.177
22,11517850,0.00815600,921.00000000,15983652,15983652,1736466646177,False,True,2025-01-09 23:50:46.177
23,11517851,0.00815700,921.00000000,15983653,15983653,1736466646177,False,True,2025-01-09 23:50:46.177
24,11517852,0.00815400,1003.00000000,15983654,15983654,1736466664691,False,True,2025-01-09 23:51:04.691
25,11517853,0.00815400,10797.00000000,15983655,15983655,1736466665772,False,True,2025-01-09 23:51:05.772
26,11517854,0.00815400,17805.00000000,15983656,15983656,1736466665773,False,True,2025-01-09 23:51:05.773
27,11517855,0.00815500,5921.00000000,15983657,15983657,1736466665774,False,True,2025-01-09 23:51:05.774
28,11517856,0.00815800,1843.00000000,15983658,15983659,1736466665776,False,True,2025-01-09 23:51:05.776
29,11517857,0.00815900,921.00000000,15983660,15983660,1736466665777,False,True,2025-01-09 23:51:05.777
30,11517858,0.00816000,3685.00000000,15983661,15983662,1736466665777,False,True,2025-01-09 23:51:05.777
31,11517859,0.00816100,7235.00000000,15983663,15983664,1736466666275,False,True,2025-01-09 23:51:06.275
32,11517860,0.00816200,1841.00000000,15983665,15983666,1736466666275,False,True,2025-01-09 23:51:06.275
33,11517861,0.00816200,6314.00000000,15983667,15983667,1736466666277,False,True,2025-01-09 23:51:06.277
34,11517862,0.00816300,3830.00000000,15983668,15983668,1736466666277,False,True,2025-01-09 23:51:06.277
35,11517863,0.00816500,921.00000000,15983669,15983669,1736466666277,False,True,2025-01-09 23:51:06.277
36,11517864,0.00816600,37151.00000000,15983670,15983672,1736466666277,False,True,2025-01-09 23:51:06.277
37,11517865,0.00816800,1316.00000000,15983673,15983673,1736466666277,False,True,2025-01-09 23:51:06.277
38,11517866,0.00816900,19339.00000000,15983674,15983674,1736466666277,False,True,2025-01-09 23:51:06.277
39,11517867,0.00816000,1455.00000000,15983675,15983675,1736466666808,True,True,2025-01-09 23:51:06.808
40,11517868,0.00816000,1649.00000000,15983676,15983676,1736466668626,True,True,2025-01-09 23:51:08.626
41,11517869,0.00816000,22741.00000000,15983677,15983678,1736466672392,True,True,2025-01-09 23:51:12.392
42,11517870,0.00816200,31090.00000000,15983679,15983679,1736466674075,False,True,2025-01-09 23:51:14.075
43,11517871,0.00816200,2100.00000000,15983680,15983680,1736466688409,True,True,2025-01-09 23:51:28.409
44,11517872,0.00816200,18720.00000000,15983681,15983683,1736466688976,True,True,2025-01-09 23:51:28.976
45,11517873,0.00816200,4392.00000000,15983684,15983685,1736466688978,True,True,2025-01-09 23:51:28.978
46,11517874,0.00815800,919.00000000,15983686,15983686,1736466688994,True,True,2025-01-09 23:51:28.994
47,11517875,0.00815700,919.00000000,15983687,15983687,1736466688994,True,True,2025-01-09 23:51:28.994
48,11517876,0.00815700,3415.00000000,15983688,15983688,1736466688996,True,True,2025-01-09 23:51:28.996
49,11517877,0.00816100,29570.00000000,15983689,15983689,1736466696376,False,True,2025-01-09 23:51:36.376
50,11517878,0.00816200,5914.00000000,15983690,15983690,1736466696376,False,True,2025-01-09 23:51:36.376
51,11517879,0.00816500,2100.00000000,15983691,15983691,1736466696376,False,True,2025-01-09 23:51:36.376
52,11517880,0.00817000,927.00000000,15983692,15983692,1736466696376,False,True,2025-01-09 23:51:36.376
53,11517881,0.00817100,4905.00000000,15983693,15983694,1736466696376,False,True,2025-01-09 23:51:36.376
54,11517882,0.00817200,35091.00000000,15983695,15983696,1736466696376,False,True,2025-01-09 23:51:36.376
55,11517883,0.00817300,106939.00000000,15983697,15983701,1736466696376,False,True,2025-01-09 23:51:36.376
56,11517884,0.00817300,25415.00000000,15983702,15983702,1736466696386,False,True,2025-01-09 23:51:36.386
57,11517885,0.00817400,2676.00000000,15983703,15983704,1736466696386,False,True,2025-01-09 23:51:36.386
58,11517886,0.00816700,2261.00000000,15983705,15983705,1736466697033,True,True,2025-01-09 23:51:37.033
59,11517887,0.00816700,20805.00000000,15983706,15983707,1736466697035,True,True,2025-01-09 23:51:37.035
60,11517888,0.00816600,8916.00000000,15983708,15983709,1736466698958,True,True,2025-01-09 23:51:38.958
61,11517889,0.00816600,3587.00000000,15983710,15983710,1736466698961,True,True,2025-01-09 23:51:38.961
62,11517890,0.00816400,6314.00000000,15983711,15983711,1736466698961,True,True,2025-01-09 23:51:38.961
63,11517891,0.00816300,6314.00000000,15983712,15983712,1736466698963,True,True,2025-01-09 23:51:38.963
64,11517892,0.00816200,25575.00000000,15983713,15983713,1736466698963,True,True,2025-01-09 23:51:38.963
65,11517893,0.00816100,9359.00000000,15983714,15983715,1736466698963,True,True,2025-01-09 23:51:38.963
66,11517894,0.00816100,5395.00000000,15983716,15983716,1736466698963,True,True,2025-01-09 23:51:38.963
67,11517895,0.00816700,6314.00000000,15983717,15983717,1736466700626,False,True,2025-01-09 23:51:40.626
68,11517896,0.00816700,253277.00000000,15983718,15983719,1736466701549,True,True,2025-01-09 23:51:41.549
69,11517897,0.00816400,6314.00000000,15983720,15983720,1736466701549,True,True,2025-01-09 23:51:41.549
70,11517898,0.00816300,919.00000000,15983721,15983721,1736466701549,True,True,2025-01-09 23:51:41.549
71,11517899,0.00816200,782.00000000,15983722,15983722,1736466705318,True,True,2025-01-09 23:51:45.318
72,11517900,0.00816200,1243.00000000,15983723,15983723,1736466705644,True,True,2025-01-09 23:51:45.644
73,11517901,0.00816400,117925.00000000,15983724,15983724,1736466708646,False,True,2025-01-09 23:51:48.646
74,11517902,0.00816500,23585.00000000,15983725,15983725,1736466708646,False,True,2025-01-09 23:51:48.646
75,11517903,0.00816600,6314.00000000,15983726,15983726,1736466708646,False,True,2025-01-09 23:51:48.646
76,11517904,0.00817100,23150.00000000,15983727,15983728,1736466708678,False,True,2025-01-09 23:51:48.678
77,11517905,0.00817200,18389.00000000,15983729,15983730,1736466708687,False,True,2025-01-09 23:51:48.687
78,11517906,0.00817300,7931.00000000,15983731,15983731,1736466708687,False,True,2025-01-09 23:51:48.687
79,11517907,0.00817000,7232.00000000,15983732,15983733,1736466710684,True,True,2025-01-09 23:51:50.684
